"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","la_name","old_la_code","new_la_code","breakdown","group_name","total_ects_count_provider_led","total_mentors_trained_count_provider_led","count_swfc_ects","count_swfc_ects_pending_confirmation_provider_led","count_swfc_ects_provider_led","count_swfc_ects_school_led","percent_swfc_ects_pending_confirmation_provider_led","percent_swfc_ects_provider_led","percent_swfc_ects_school_led"
"202122","Academic year","Regional","E92000001","England","E12000004","East Midlands",,,,"Overall","Overall",2236,2349,2024,3,1972,49,"0.1","97.4","2.4"
"202223","Academic year","Regional","E92000001","England","E12000004","East Midlands",,,,"Overall","Overall",2123,1692,1716,0,1670,46,"0","97.3","2.7"
"202122","Academic year","Regional","E92000001","England","E12000006","East of England",,,,"Overall","Overall",2923,2968,2696,2,2614,80,"0.1","97","3"
"202223","Academic year","Regional","E92000001","England","E12000006","East of England",,,,"Overall","Overall",2787,2219,2401,0,2333,68,"0","97.2","2.8"
"202122","Academic year","Regional","E92000001","England","E12000007","London",,,,"Overall","Overall",4784,4912,4545,4,4211,330,"0.1","92.7","7.3"
"202223","Academic year","Regional","E92000001","England","E12000007","London",,,,"Overall","Overall",4804,3501,4050,0,3794,256,"0","93.7","6.3"
"202122","Academic year","Regional","E92000001","England","E12000001","North East",,,,"Overall","Overall",1075,998,887,4,859,24,"0.5","96.8","2.7"
"202223","Academic year","Regional","E92000001","England","E12000001","North East",,,,"Overall","Overall",1158,780,805,0,784,21,"0","97.4","2.6"
"202122","Academic year","Regional","E92000001","England","E12000002","North West",,,,"Overall","Overall",3423,3083,2794,2,2700,92,"0.1","96.6","3.3"
"202223","Academic year","Regional","E92000001","England","E12000002","North West",,,,"Overall","Overall",3347,2224,2372,1,2290,81,"0","96.5","3.4"
"202122","Academic year","Regional","E92000001","England","E12000008","South East",,,,"Overall","Overall",4302,4556,4064,3,3875,186,"0.1","95.3","4.6"
"202223","Academic year","Regional","E92000001","England","E12000008","South East",,,,"Overall","Overall",4241,3337,3637,0,3481,156,"0","95.7","4.3"
"202122","Academic year","Regional","E92000001","England","E12000009","South West",,,,"Overall","Overall",2233,2230,2043,6,1927,110,"0.3","94.3","5.4"
"202223","Academic year","Regional","E92000001","England","E12000009","South West",,,,"Overall","Overall",2318,1651,1880,0,1799,81,"0","95.7","4.3"
"202122","Academic year","Regional","E92000001","England","E12000005","West Midlands",,,,"Overall","Overall",2986,2898,2613,6,2520,87,"0.2","96.4","3.3"
"202223","Academic year","Regional","E92000001","England","E12000005","West Midlands",,,,"Overall","Overall",2814,2024,2140,0,2050,90,"0","95.8","4.2"
"202122","Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber",,,,"Overall","Overall",2685,2719,2326,7,2285,34,"0.3","98.2","1.5"
"202223","Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber",,,,"Overall","Overall",2698,1940,1988,0,1966,22,"0","98.9","1.1"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Barking and Dagenham","301","E09000002","Overall","Overall",137,123,138,0,122,16,"0","88.4","11.6"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Barking and Dagenham","301","E09000002","Overall","Overall",150,109,139,0,117,22,"0","84.2","15.8"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Barnet","302","E09000003","Overall","Overall",212,198,196,0,186,10,"0","94.9","5.1"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Barnet","302","E09000003","Overall","Overall",241,188,208,0,196,12,"0","94.2","5.8"
"202122","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","Barnsley","370","E08000016","Overall","Overall",100,103,94,0,93,1,"0","98.9","1.1"
"202223","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","Barnsley","370","E08000016","Overall","Overall",101,72,80,0,78,2,"0","97.5","2.5"
"202122","Academic year","Local authority","E92000001","England","E12000009","South West","Bath and North East Somerset","800","E06000022","Overall","Overall",41,33,66,0,34,32,"0","51.5","48.5"
"202223","Academic year","Local authority","E92000001","England","E12000009","South West","Bath and North East Somerset","800","E06000022","Overall","Overall",46,29,76,0,35,41,"0","46.1","53.9"
"202122","Academic year","Local authority","E92000001","England","E12000006","East of England","Bedford","822","E06000055","Overall","Overall",119,125,106,1,102,3,"0.9","96.2","2.8"
"202223","Academic year","Local authority","E92000001","England","E12000006","East of England","Bedford","822","E06000055","Overall","Overall",90,78,73,0,67,6,"0","91.8","8.2"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Bexley","303","E09000004","Overall","Overall",150,164,135,0,130,5,"0","96.3","3.7"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Bexley","303","E09000004","Overall","Overall",145,100,118,0,112,6,"0","94.9","5.1"
"202122","Academic year","Local authority","E92000001","England","E12000005","West Midlands","Birmingham","330","E08000025","Overall","Overall",771,742,648,2,632,14,"0.3","97.5","2.2"
"202223","Academic year","Local authority","E92000001","England","E12000005","West Midlands","Birmingham","330","E08000025","Overall","Overall",745,513,510,0,505,5,"0","99","1"
"202122","Academic year","Local authority","E92000001","England","E12000002","North West","Blackburn with Darwen","889","E06000008","Overall","Overall",90,88,79,0,79,0,"0","100","0"
"202223","Academic year","Local authority","E92000001","England","E12000002","North West","Blackburn with Darwen","889","E06000008","Overall","Overall",81,41,61,0,61,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000002","North West","Blackpool","890","E06000009","Overall","Overall",59,55,50,0,50,0,"0","100","0"
"202223","Academic year","Local authority","E92000001","England","E12000002","North West","Blackpool","890","E06000009","Overall","Overall",71,49,51,0,51,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000002","North West","Bolton","350","E08000001","Overall","Overall",160,122,139,0,137,2,"0","98.6","1.4"
"202223","Academic year","Local authority","E92000001","England","E12000002","North West","Bolton","350","E08000001","Overall","Overall",134,69,102,0,99,3,"0","97.1","2.9"
"202122","Academic year","Local authority","E92000001","England","E12000009","South West","Bournemouth, Christchurch and Poole","839","E06000058","Overall","Overall",162,179,149,0,148,1,"0","99.3","0.7"
"202223","Academic year","Local authority","E92000001","England","E12000009","South West","Bournemouth, Christchurch and Poole","839","E06000058","Overall","Overall",176,129,148,0,148,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000008","South East","Bracknell Forest","867","E06000036","Overall","Overall",60,72,56,0,54,2,"0","96.4","3.6"
"202223","Academic year","Local authority","E92000001","England","E12000008","South East","Bracknell Forest","867","E06000036","Overall","Overall",60,57,52,0,52,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","Bradford","380","E08000032","Overall","Overall",392,306,333,1,329,3,"0.3","98.8","0.9"
"202223","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","Bradford","380","E08000032","Overall","Overall",396,222,265,0,264,1,"0","99.6","0.4"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Brent","304","E09000005","Overall","Overall",197,185,163,0,162,1,"0","99.4","0.6"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Brent","304","E09000005","Overall","Overall",206,143,144,0,143,1,"0","99.3","0.7"
"202122","Academic year","Local authority","E92000001","England","E12000008","South East","Brighton and Hove","846","E06000043","Overall","Overall",80,86,74,0,67,7,"0","90.5","9.5"
"202223","Academic year","Local authority","E92000001","England","E12000008","South East","Brighton and Hove","846","E06000043","Overall","Overall",107,79,92,0,82,10,"0","89.1","10.9"
"202122","Academic year","Local authority","E92000001","England","E12000009","South West","Bristol, City of","801","E06000023","Overall","Overall",206,200,191,2,174,15,"1","91.1","7.9"
"202223","Academic year","Local authority","E92000001","England","E12000009","South West","Bristol, City of","801","E06000023","Overall","Overall",242,185,182,0,170,12,"0","93.4","6.6"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Bromley","305","E09000006","Overall","Overall",170,184,150,0,136,14,"0","90.7","9.3"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Bromley","305","E09000006","Overall","Overall",187,148,165,0,144,21,"0","87.3","12.7"
"202122","Academic year","Local authority","E92000001","England","E12000008","South East","Buckinghamshire","825","E06000060","Overall","Overall",241,230,226,0,217,9,"0","96","4"
"202223","Academic year","Local authority","E92000001","England","E12000008","South East","Buckinghamshire","825","E06000060","Overall","Overall",261,204,221,0,221,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000002","North West","Bury","351","E08000002","Overall","Overall",90,72,70,0,70,0,"0","100","0"
"202223","Academic year","Local authority","E92000001","England","E12000002","North West","Bury","351","E08000002","Overall","Overall",74,48,43,0,43,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","Calderdale","381","E08000033","Overall","Overall",102,99,95,1,89,5,"1.1","93.7","5.3"
"202223","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","Calderdale","381","E08000033","Overall","Overall",123,96,90,0,89,1,"0","98.9","1.1"
"202122","Academic year","Local authority","E92000001","England","E12000006","East of England","Cambridgeshire","873","E10000003","Overall","Overall",301,306,263,0,262,1,"0","99.6","0.4"
"202223","Academic year","Local authority","E92000001","England","E12000006","East of England","Cambridgeshire","873","E10000003","Overall","Overall",295,225,255,0,254,1,"0","99.6","0.4"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Camden","202","E09000007","Overall","Overall",97,115,92,0,92,0,"0","100","0"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Camden","202","E09000007","Overall","Overall",106,74,90,0,90,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000006","East of England","Central Bedfordshire","823","E06000056","Overall","Overall",132,141,121,0,121,0,"0","100","0"
"202223","Academic year","Local authority","E92000001","England","E12000006","East of England","Central Bedfordshire","823","E06000056","Overall","Overall",143,97,130,0,130,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000002","North West","Cheshire East","895","E06000049","Overall","Overall",137,107,112,0,108,4,"0","96.4","3.6"
"202223","Academic year","Local authority","E92000001","England","E12000002","North West","Cheshire East","895","E06000049","Overall","Overall",146,114,101,0,91,10,"0","90.1","9.9"
"202122","Academic year","Local authority","E92000001","England","E12000002","North West","Cheshire West and Chester","896","E06000050","Overall","Overall",117,105,102,0,96,6,"0","94.1","5.9"
"202223","Academic year","Local authority","E92000001","England","E12000002","North West","Cheshire West and Chester","896","E06000050","Overall","Overall",109,72,71,0,70,1,"0","98.6","1.4"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","City of London","201","E09000001","Overall","Overall",1,2,1,0,1,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000009","South West","Cornwall","908","E06000052","Overall","Overall",200,214,172,1,170,1,"0.6","98.8","0.6"
"202223","Academic year","Local authority","E92000001","England","E12000009","South West","Cornwall","908","E06000052","Overall","Overall",199,139,147,0,147,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000001","North East","County Durham","840","E06000047","Overall","Overall",216,202,179,1,176,2,"0.6","98.3","1.1"
"202223","Academic year","Local authority","E92000001","England","E12000001","North East","County Durham","840","E06000047","Overall","Overall",231,158,161,0,159,2,"0","98.8","1.2"
"202122","Academic year","Local authority","E92000001","England","E12000005","West Midlands","Coventry","331","E08000026","Overall","Overall",178,192,180,0,161,19,"0","89.4","10.6"
"202223","Academic year","Local authority","E92000001","England","E12000005","West Midlands","Coventry","331","E08000026","Overall","Overall",194,144,176,0,166,10,"0","94.3","5.7"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Croydon","306","E09000008","Overall","Overall",246,245,229,1,212,16,"0.4","92.6","7"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Croydon","306","E09000008","Overall","Overall",178,113,143,0,135,8,"0","94.4","5.6"
"202122","Academic year","Local authority","E92000001","England","E12000002","North West","Cumberland","942","E06000063","Overall","Overall",119,118,94,0,94,0,"0","100","0"
"202223","Academic year","Local authority","E92000001","England","E12000002","North West","Cumberland","942","E06000063","Overall","Overall",99,78,67,0,67,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000001","North East","Darlington","841","E06000005","Overall","Overall",44,42,34,0,33,1,"0","97.1","2.9"
"202223","Academic year","Local authority","E92000001","England","E12000001","North East","Darlington","841","E06000005","Overall","Overall",48,29,30,0,30,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000004","East Midlands","Derby","831","E06000015","Overall","Overall",131,148,120,0,117,3,"0","97.5","2.5"
"202223","Academic year","Local authority","E92000001","England","E12000004","East Midlands","Derby","831","E06000015","Overall","Overall",120,78,94,0,90,4,"0","95.7","4.3"
"202122","Academic year","Local authority","E92000001","England","E12000004","East Midlands","Derbyshire","830","E10000007","Overall","Overall",309,308,280,1,275,4,"0.4","98.2","1.4"
"202223","Academic year","Local authority","E92000001","England","E12000004","East Midlands","Derbyshire","830","E10000007","Overall","Overall",294,233,239,0,236,3,"0","98.7","1.3"
"202122","Academic year","Local authority","E92000001","England","E12000009","South West","Devon","878","E10000008","Overall","Overall",295,286,257,0,250,7,"0","97.3","2.7"
"202223","Academic year","Local authority","E92000001","England","E12000009","South West","Devon","878","E10000008","Overall","Overall",300,222,227,0,227,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","Doncaster","371","E08000017","Overall","Overall",184,177,162,1,160,1,"0.6","98.8","0.6"
"202223","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","Doncaster","371","E08000017","Overall","Overall",140,110,105,0,104,1,"0","99","1"
"202122","Academic year","Local authority","E92000001","England","E12000009","South West","Dorset","838","E06000059","Overall","Overall",127,143,114,0,114,0,"0","100","0"
"202223","Academic year","Local authority","E92000001","England","E12000009","South West","Dorset","838","E06000059","Overall","Overall",141,124,112,0,112,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000005","West Midlands","Dudley","332","E08000027","Overall","Overall",128,132,108,0,105,3,"0","97.2","2.8"
"202223","Academic year","Local authority","E92000001","England","E12000005","West Midlands","Dudley","332","E08000027","Overall","Overall",129,92,80,0,79,1,"0","98.8","1.2"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Ealing","307","E09000009","Overall","Overall",165,184,163,0,149,14,"0","91.4","8.6"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Ealing","307","E09000009","Overall","Overall",161,125,150,0,138,12,"0","92","8"
"202122","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","East Riding of Yorkshire","811","E06000011","Overall","Overall",102,118,95,2,92,1,"2.1","96.8","1.1"
"202223","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","East Riding of Yorkshire","811","E06000011","Overall","Overall",84,80,65,0,65,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000008","South East","East Sussex","845","E10000011","Overall","Overall",210,208,195,0,187,8,"0","95.9","4.1"
"202223","Academic year","Local authority","E92000001","England","E12000008","South East","East Sussex","845","E10000011","Overall","Overall",215,172,183,0,176,7,"0","96.2","3.8"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Enfield","308","E09000010","Overall","Overall",214,192,197,0,190,7,"0","96.4","3.6"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Enfield","308","E09000010","Overall","Overall",211,163,174,0,171,3,"0","98.3","1.7"
"202122","Academic year","Local authority","E92000001","England","E12000006","East of England","Essex","881","E10000012","Overall","Overall",680,749,615,1,604,10,"0.2","98.2","1.6"
"202223","Academic year","Local authority","E92000001","England","E12000006","East of England","Essex","881","E10000012","Overall","Overall",672,541,573,0,569,4,"0","99.3","0.7"
"202122","Academic year","Local authority","E92000001","England","E12000001","North East","Gateshead","390","E08000037","Overall","Overall",77,80,65,1,63,1,"1.5","96.9","1.5"
"202223","Academic year","Local authority","E92000001","England","E12000001","North East","Gateshead","390","E08000037","Overall","Overall",70,45,41,0,40,1,"0","97.6","2.4"
"202122","Academic year","Local authority","E92000001","England","E12000009","South West","Gloucestershire","916","E10000013","Overall","Overall",282,279,253,0,241,12,"0","95.3","4.7"
"202223","Academic year","Local authority","E92000001","England","E12000009","South West","Gloucestershire","916","E10000013","Overall","Overall",244,160,213,0,197,16,"0","92.5","7.5"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Greenwich","203","E09000011","Overall","Overall",156,169,171,0,137,34,"0","80.1","19.9"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Greenwich","203","E09000011","Overall","Overall",166,114,156,0,122,34,"0","78.2","21.8"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Hackney","204","E09000012","Overall","Overall",160,150,166,1,147,18,"0.6","88.6","10.8"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Hackney","204","E09000012","Overall","Overall",115,90,103,0,90,13,"0","87.4","12.6"
"202122","Academic year","Local authority","E92000001","England","E12000002","North West","Halton","876","E06000006","Overall","Overall",63,63,53,0,53,0,"0","100","0"
"202223","Academic year","Local authority","E92000001","England","E12000002","North West","Halton","876","E06000006","Overall","Overall",75,55,44,0,44,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Hammersmith and Fulham","205","E09000013","Overall","Overall",112,108,112,0,103,9,"0","92","8"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Hammersmith and Fulham","205","E09000013","Overall","Overall",96,66,85,0,79,6,"0","92.9","7.1"
"202122","Academic year","Local authority","E92000001","England","E12000008","South East","Hampshire","850","E10000014","Overall","Overall",578,610,561,0,538,23,"0","95.9","4.1"
"202223","Academic year","Local authority","E92000001","England","E12000008","South East","Hampshire","850","E10000014","Overall","Overall",546,428,501,0,474,27,"0","94.6","5.4"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Haringey","309","E09000014","Overall","Overall",157,179,134,0,133,1,"0","99.3","0.7"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Haringey","309","E09000014","Overall","Overall",144,106,108,0,108,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Harrow","310","E09000015","Overall","Overall",149,143,139,0,134,5,"0","96.4","3.6"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Harrow","310","E09000015","Overall","Overall",170,122,140,0,136,4,"0","97.1","2.9"
"202122","Academic year","Local authority","E92000001","England","E12000001","North East","Hartlepool","805","E06000001","Overall","Overall",37,44,33,0,33,0,"0","100","0"
"202223","Academic year","Local authority","E92000001","England","E12000001","North East","Hartlepool","805","E06000001","Overall","Overall",46,29,35,0,35,0,"0","100","0"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Havering","311","E09000016","Overall","Overall",142,152,136,0,135,1,"0","99.3","0.7"
